user_id,car_id,value,swiped
2240,3,-1,f
2240,5,-1,f
2240,8,0,f
2240,9,-1,f
2240,10,-1,f
2240,13,-1,f
2240,15,-1,f
2240,16,-1,f
2240,19,-1,f
2240,20,-1,f
2240,22,-1,f
2240,23,-1,f
2240,24,-1,f
2240,25,-1,f
2240,26,-1,f
2240,30,-1,f
2240,31,-1,f
2240,33,-1,f
2240,34,-1,f
2240,35,0,f
2240,39,-1,f
2240,40,-1,f
2240,41,-1,f
2240,47,-1,f
2240,4,-1,f
2240,51,-1,f
2240,54,-1,f
2240,55,-1,f
2240,56,-1,f
2240,57,-1,f
2240,58,0,f
2240,59,-1,f
2240,60,-1,f
2240,61,-1,f
2240,62,-1,f
2240,63,-1,f
2240,64,-1,f
2240,68,-1,f
2240,69,-1,f
2240,71,-1,f
2240,73,-1,f
2240,74,-1,f
2240,75,-1,f
2240,76,-1,f
2240,77,-1,f
2240,78,-1,f
2240,80,-1,f
2240,81,-1,f
2240,82,-1,f
2240,83,-1,f
2240,84,-1,f
2240,85,-1,f
2240,86,-1,f
2240,87,-1,f
2240,88,-1,f
2240,89,-1,f
2240,90,-1,f
2240,92,-1,f
2240,166,-1,f
2240,167,0,f
2240,168,-1,f
2240,169,-1,f
2240,171,-1,f
2240,172,-1,f
2240,173,-1,f
2240,174,-1,f
2240,175,-1,f
2240,176,-1,f
2240,177,-1,f
2240,178,-1,f
2240,181,-1,f
2240,182,-1,f
2240,183,-1,f
2240,184,-1,f
2240,186,0,f
2240,170,0,f
2240,187,-1,f
2240,188,-1,f
2240,190,-1,f
2240,191,-1,f
2240,192,-1,f
2240,193,-1,f
2240,196,-1,f
2240,197,-1,f
2240,200,-1,f
2240,201,-1,f
2240,202,-1,f
2240,204,-1,f
2240,205,-1,f
2240,206,-1,f
2240,207,-1,f
2240,208,-1,f
2240,209,-1,f
2240,210,-1,f
2240,211,-1,f
2240,212,-1,f
2240,213,-1,f
2240,214,-1,f
2240,215,-1,f
2240,216,-1,f
2240,217,-1,f
2240,218,-1,f
2240,219,-1,f
2240,220,-1,f
2240,222,-1,f
2240,223,-1,f
2240,224,-1,f
2240,225,-1,f
2240,226,0,f
2240,227,-1,f
2240,228,-1,f
2240,229,-1,f
2240,230,-1,f
2240,231,-1,f
2240,232,-1,f
2240,233,-1,f
2240,234,-1,f
2240,235,-1,f
2240,189,-1,t
2240,48,-1,t
2240,65,-1,t
2240,203,-1,t
2240,185,-1,t
2240,27,-1,t
2240,45,-1,t
2240,18,-1,t
2240,2,-1,t
2240,50,-1,t
2240,28,-1,t
2240,29,-1,t
2240,42,-1,t
2240,37,-1,t
2240,17,-1,t
2240,11,-1,t
2240,6,-1,t
2240,44,-1,t
2240,14,-1,t
2240,46,-1,t
2240,32,-1,t
2240,49,-1,t
2240,12,-1,t
2240,195,-1,t
2240,72,-1,t
2240,21,-1,t
2240,70,-1,t
2240,194,-1,t
2240,179,-1,t
2240,91,-1,t
2240,221,-1,t
2240,67,-1,t
2240,36,-1,t
2240,66,-1,t
2240,43,-1,t
2240,237,-1,f
2240,238,-1,f
2240,239,-1,f
2240,240,-1,f
2240,241,-1,f
2240,242,-1,f
2240,243,-1,f
2240,244,-1,f
2240,245,-1,f
2240,246,-1,f
2240,247,-1,f
2240,248,-1,f
2240,249,-1,f
2240,250,-1,f
2240,251,-1,f
2240,252,-1,f
2240,253,-1,f
2240,254,-1,f
2240,255,-1,f
2240,256,-1,f
2240,257,-1,f
2240,258,-1,f
2240,259,-1,f
2240,260,-1,f
2240,261,-1,f
2240,262,-1,f
2240,263,-1,f
2240,264,-1,f
2240,265,-1,f
2240,266,-1,f
2240,267,-1,f
2240,268,-1,f
2240,269,-1,f
2240,270,-1,f
2240,271,-1,f
2240,272,-1,f
2240,273,-1,f
2240,274,-1,f
2240,275,-1,f
2240,277,-1,f
2240,278,-1,f
2240,279,-1,f
2240,280,-1,f
2240,281,-1,f
2240,282,-1,f
2240,283,-1,f
2240,285,-1,f
